,inside_temperature,outside_temperature,time,date,season,year,month,day
0,67,62,0 days 00:00:00,2021-06-25,summer,2021,6,25
1,66,64,0 days 04:00:00,2021-06-25,summer,2021,6,25
2,69,64,0 days 08:00:00,2021-06-25,summer,2021,6,25
3,72,78,0 days 12:00:00,2021-06-25,summer,2021,6,25
4,70,76,0 days 16:00:00,2021-06-25,summer,2021,6,25
5,70,71,0 days 20:00:00,2021-06-25,summer,2021,6,25
6,67,69,0 days 00:00:00,2021-06-26,summer,2021,6,26
7,66,70,0 days 04:00:00,2021-06-26,summer,2021,6,26
8,68,73,0 days 08:00:00,2021-06-26,summer,2021,6,26
9,70,83,0 days 12:00:00,2021-06-26,summer,2021,6,26
10,67,79,0 days 20:00:00,2021-06-26,summer,2021,6,26
11,66,74,0 days 00:00:00,2021-06-27,summer,2021,6,27
12,68,74,0 days 08:00:00,2021-06-27,summer,2021,6,27
13,71,88,0 days 12:00:00,2021-06-27,summer,2021,6,27
14,73,87,0 days 16:00:00,2021-06-27,summer,2021,6,27
15,71,78,0 days 20:00:00,2021-06-27,summer,2021,6,27
16,68,77,0 days 00:00:00,2021-06-28,summer,2021,6,28
17,69,73,0 days 04:00:00,2021-06-28,summer,2021,6,28
18,71,77,0 days 08:00:00,2021-06-28,summer,2021,6,28
19,73,91,0 days 12:00:00,2021-06-28,summer,2021,6,28
20,73,93,0 days 16:00:00,2021-06-28,summer,2021,6,28
21,74,85,0 days 20:00:00,2021-06-28,summer,2021,6,28
22,68,78,0 days 00:00:00,2021-06-29,summer,2021,6,29
23,68,75,0 days 04:00:00,2021-06-29,summer,2021,6,29
24,71,78,0 days 08:00:00,2021-06-29,summer,2021,6,29
25,74,93,0 days 12:00:00,2021-06-29,summer,2021,6,29
26,73,95,0 days 16:00:00,2021-06-29,summer,2021,6,29
27,71,89,0 days 20:00:00,2021-06-29,summer,2021,6,29
28,72,81,0 days 00:00:00,2021-06-30,summer,2021,6,30
29,70,77,0 days 04:00:00,2021-06-30,summer,2021,6,30
30,75,79,0 days 08:00:00,2021-06-30,summer,2021,6,30
31,79,95,0 days 12:00:00,2021-06-30,summer,2021,6,30
32,75,97,0 days 16:00:00,2021-06-30,summer,2021,6,30
33,73,91,0 days 20:00:00,2021-06-30,summer,2021,6,30
34,69,77,0 days 00:00:00,2021-07-01,summer,2021,7,1
35,69,73,0 days 04:00:00,2021-07-01,summer,2021,7,1
36,73,77,0 days 08:00:00,2021-07-01,summer,2021,7,1
37,75,87,0 days 12:00:00,2021-07-01,summer,2021,7,1
38,76,80,0 days 16:00:00,2021-07-01,summer,2021,7,1
39,73,71,0 days 20:00:00,2021-07-01,summer,2021,7,1
40,70,71,0 days 00:00:00,2021-07-02,summer,2021,7,2
41,69,70,0 days 04:00:00,2021-07-02,summer,2021,7,2
42,69,70,0 days 08:00:00,2021-07-02,summer,2021,7,2
43,68,73,0 days 12:00:00,2021-07-02,summer,2021,7,2
44,69,71,0 days 16:00:00,2021-07-02,summer,2021,7,2
45,69,71,0 days 20:00:00,2021-07-02,summer,2021,7,2
46,68,64,0 days 04:00:00,2021-07-03,summer,2021,7,3
47,67,63,0 days 08:00:00,2021-07-03,summer,2021,7,3
48,68,68,0 days 12:00:00,2021-07-03,summer,2021,7,3
49,68,67,0 days 16:00:00,2021-07-03,summer,2021,7,3
50,68,65,0 days 20:00:00,2021-07-03,summer,2021,7,3
51,68,64,0 days 00:00:00,2021-07-04,summer,2021,7,4
52,66,63,0 days 08:00:00,2021-07-04,summer,2021,7,4
53,70,80,0 days 12:00:00,2021-07-04,summer,2021,7,4
54,74,77,0 days 16:00:00,2021-07-04,summer,2021,7,4
55,71,75,0 days 20:00:00,2021-07-04,summer,2021,7,4
56,67,64,0 days 04:00:00,2021-07-05,summer,2021,7,5
57,69,68,0 days 08:00:00,2021-07-05,summer,2021,7,5
58,72,83,0 days 16:00:00,2021-07-05,summer,2021,7,5
59,74,79,0 days 20:00:00,2021-07-05,summer,2021,7,5
60,73,75,0 days 00:00:00,2021-07-06,summer,2021,7,6
61,70,72,0 days 04:00:00,2021-07-06,summer,2021,7,6
62,71,76,0 days 08:00:00,2021-07-06,summer,2021,7,6
63,75,92,0 days 12:00:00,2021-07-06,summer,2021,7,6
64,72,93,0 days 16:00:00,2021-07-06,summer,2021,7,6
65,72,79,0 days 20:00:00,2021-07-06,summer,2021,7,6
66,72,73,0 days 08:00:00,2021-07-07,summer,2021,7,7
67,75,90,0 days 12:00:00,2021-07-07,summer,2021,7,7
68,75,94,0 days 16:00:00,2021-07-07,summer,2021,7,7
69,76,88,0 days 20:00:00,2021-07-07,summer,2021,7,7
70,72,74,0 days 04:00:00,2021-07-08,summer,2021,7,8
71,72,77,0 days 08:00:00,2021-07-08,summer,2021,7,8
72,76,87,0 days 12:00:00,2021-07-08,summer,2021,7,8
73,75,83,0 days 20:00:00,2021-07-08,summer,2021,7,8
74,69,74,0 days 00:00:00,2021-07-09,summer,2021,7,9
75,68,73,0 days 04:00:00,2021-07-09,summer,2021,7,9
76,74,87,0 days 16:00:00,2021-07-09,summer,2021,7,9
77,78,83,0 days 20:00:00,2021-07-09,summer,2021,7,9
78,72,74,0 days 00:00:00,2021-07-10,summer,2021,7,10
79,71,71,0 days 04:00:00,2021-07-10,summer,2021,7,10
80,73,72,0 days 08:00:00,2021-07-10,summer,2021,7,10
81,75,79,0 days 12:00:00,2021-07-10,summer,2021,7,10
82,76,80,0 days 16:00:00,2021-07-10,summer,2021,7,10
83,75,75,0 days 20:00:00,2021-07-10,summer,2021,7,10
84,70,71,0 days 00:00:00,2021-07-11,summer,2021,7,11
85,68,71,0 days 04:00:00,2021-07-11,summer,2021,7,11
86,68,74,0 days 08:00:00,2021-07-11,summer,2021,7,11
87,72,81,0 days 12:00:00,2021-07-11,summer,2021,7,11
88,70,82,0 days 16:00:00,2021-07-11,summer,2021,7,11
89,72,76,0 days 20:00:00,2021-07-11,summer,2021,7,11
90,71,76,0 days 00:00:00,2021-07-12,summer,2021,7,12
91,72,74,0 days 04:00:00,2021-07-12,summer,2021,7,12
92,72,77,0 days 08:00:00,2021-07-12,summer,2021,7,12
93,74,87,0 days 12:00:00,2021-07-12,summer,2021,7,12
94,75,75,0 days 20:00:00,2021-07-12,summer,2021,7,12
95,70,74,0 days 00:00:00,2021-07-13,summer,2021,7,13
96,71,72,0 days 04:00:00,2021-07-13,summer,2021,7,13
97,72,73,0 days 12:00:00,2021-07-13,summer,2021,7,13
98,74,75,0 days 16:00:00,2021-07-13,summer,2021,7,13
99,75,72,0 days 20:00:00,2021-07-13,summer,2021,7,13
100,74,72,0 days 00:00:00,2021-07-14,summer,2021,7,14
101,73,73,0 days 04:00:00,2021-07-14,summer,2021,7,14
102,77,87,0 days 12:00:00,2021-07-14,summer,2021,7,14
103,77,84,0 days 16:00:00,2021-07-14,summer,2021,7,14
104,78,79,0 days 20:00:00,2021-07-14,summer,2021,7,14
105,75,74,0 days 00:00:00,2021-07-15,summer,2021,7,15
106,72,72,0 days 04:00:00,2021-07-15,summer,2021,7,15
107,73,75,0 days 08:00:00,2021-07-15,summer,2021,7,15
108,79,87,0 days 12:00:00,2021-07-15,summer,2021,7,15
109,73,88,0 days 16:00:00,2021-07-15,summer,2021,7,15
110,75,84,0 days 20:00:00,2021-07-15,summer,2021,7,15
111,75,78,0 days 00:00:00,2021-07-16,summer,2021,7,16
112,72,75,0 days 04:00:00,2021-07-16,summer,2021,7,16
113,73,80,0 days 08:00:00,2021-07-16,summer,2021,7,16
114,75,92,0 days 12:00:00,2021-07-16,summer,2021,7,16
115,75,93,0 days 16:00:00,2021-07-16,summer,2021,7,16
116,75,87,0 days 20:00:00,2021-07-16,summer,2021,7,16
117,73,81,0 days 00:00:00,2021-07-17,summer,2021,7,17
118,71,77,0 days 04:00:00,2021-07-17,summer,2021,7,17
119,73,79,0 days 08:00:00,2021-07-17,summer,2021,7,17
120,76,91,0 days 12:00:00,2021-07-17,summer,2021,7,17
121,74,83,0 days 20:00:00,2021-07-17,summer,2021,7,17
122,72,71,0 days 00:00:00,2021-07-18,summer,2021,7,18
123,69,72,0 days 04:00:00,2021-07-18,summer,2021,7,18
124,71,74,0 days 08:00:00,2021-07-18,summer,2021,7,18
125,75,85,0 days 12:00:00,2021-07-18,summer,2021,7,18
126,74,81,0 days 16:00:00,2021-07-18,summer,2021,7,18
127,73,76,0 days 20:00:00,2021-07-18,summer,2021,7,18
128,72,71,0 days 00:00:00,2021-07-19,summer,2021,7,19
129,71,70,0 days 04:00:00,2021-07-19,summer,2021,7,19
130,71,71,0 days 08:00:00,2021-07-19,summer,2021,7,19
131,72,82,0 days 12:00:00,2021-07-19,summer,2021,7,19
132,71,84,0 days 16:00:00,2021-07-19,summer,2021,7,19
133,74,76,0 days 20:00:00,2021-07-19,summer,2021,7,19
134,71,72,0 days 00:00:00,2021-07-20,summer,2021,7,20
135,70,69,0 days 04:00:00,2021-07-20,summer,2021,7,20
136,69,72,0 days 08:00:00,2021-07-20,summer,2021,7,20
137,77,87,0 days 16:00:00,2021-07-20,summer,2021,7,20
138,69,82,0 days 20:00:00,2021-07-20,summer,2021,7,20
139,70,76,0 days 00:00:00,2021-07-21,summer,2021,7,21
140,68,74,0 days 08:00:00,2021-07-21,summer,2021,7,21
141,71,86,0 days 12:00:00,2021-07-21,summer,2021,7,21
142,71,67,0 days 00:00:00,2021-07-22,summer,2021,7,22
143,70,64,0 days 04:00:00,2021-07-22,summer,2021,7,22
144,76,81,0 days 16:00:00,2021-07-22,summer,2021,7,22
145,75,75,0 days 20:00:00,2021-07-22,summer,2021,7,22
146,74,67,0 days 00:00:00,2021-07-23,summer,2021,7,23
147,72,64,0 days 04:00:00,2021-07-23,summer,2021,7,23
148,72,66,0 days 08:00:00,2021-07-23,summer,2021,7,23
149,74,83,0 days 12:00:00,2021-07-23,summer,2021,7,23
150,72,76,0 days 20:00:00,2021-07-23,summer,2021,7,23
151,70,69,0 days 00:00:00,2021-07-24,summer,2021,7,24
152,70,64,0 days 04:00:00,2021-07-24,summer,2021,7,24
153,69,69,0 days 08:00:00,2021-07-24,summer,2021,7,24
154,71,83,0 days 12:00:00,2021-07-24,summer,2021,7,24
155,70,80,0 days 16:00:00,2021-07-24,summer,2021,7,24
156,70,76,0 days 20:00:00,2021-07-24,summer,2021,7,24
157,71,74,0 days 00:00:00,2021-07-25,summer,2021,7,25
158,71,73,0 days 04:00:00,2021-07-25,summer,2021,7,25
